"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","12,474,542",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","81,758,626",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","57,660,023",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","40,786,973",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","80,307,762",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,313,430",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,275,854",
"202503","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","276,727,864",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","11,597,045",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","7,529,679",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","16,344,302",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","28,372,128",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,535,489",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","513,346",
"202503","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","142,174,918",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","76,685,493",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","11,631,448",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","28,559,970",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","34,818,141",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","2,804,569",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","3,110,206",
"202503","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","181,435,653",
"202503","6405","Other footwear.","116","Japan","7,099,891",
"202503","6405","Other footwear.","141","Viet Nam","1,837,772",
"202503","6405","Other footwear.","304","Germany","461,044",
"202503","6405","Other footwear.","344","Russia","797,685",
"202503","6405","Other footwear.","402","Argentina","6,827",
"202503","6405","Other footwear.","410","Brazil","218,721",
"202503","6405","Other footwear.","502","United States","12,371,198",
