"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","4,166,884",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","396,977",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","2,211",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","12,966",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","17,003,244",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","56,357,144",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","40,403,603",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","70,579,035",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","131,974,134",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,301,177",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,680,202",
"202406","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","370,697,380",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","10,766,290",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","8,831,935",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","27,006,237",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","87,700,587",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,657,763",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","316,541",
"202406","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","230,915,381",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","45,609,822",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","11,661,957",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","35,385,027",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","67,210,388",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,048,097",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,449,755",
"202406","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","270,208,634",
"202406","6405","Other footwear.","116","Japan","4,801,154",
"202406","6405","Other footwear.","141","Viet Nam","1,359,571",
"202406","6405","Other footwear.","304","Germany","2,855,288",
"202406","6405","Other footwear.","344","Russia","2,515,212",
"202406","6405","Other footwear.","402","Argentina","3,024",
"202406","6405","Other footwear.","410","Brazil","109,592",
"202406","6405","Other footwear.","502","United States","30,020,076",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","5,664,115",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","761,109",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","3,134,429",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","701,328",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","1,400",
